,index,tconst,primaryTitle,averageRating,numVotes,startYear,first,second,third,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Sport,Thriller,War,Western,groupe
110,110,tt0099582,Flatliners,6.5,91279,1990,Drama,Horror,Sci-Fi,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
111,111,tt0099587,Flight of the Intruder,5.8,7512,1991,Action,Drama,Thriller,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
112,112,tt0099595,The Forbidden Dance,3.9,1849,1990,Drama,Music,Romance,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
113,113,tt0099606,The Fourth War,5.6,1817,1990,Drama,Thriller,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
114,114,tt0099611,Frankenhooker,6.2,12571,1990,Comedy,Horror,Sci-Fi,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
115,115,tt0099612,Frankenstein Unbound,5.4,4028,1990,Drama,Horror,Sci-Fi,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
116,116,tt0099615,The Freshman,6.5,21556,1990,Comedy,Crime,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
117,117,tt0099623,Funny About Love,4.8,1540,1990,Comedy,Romance,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
118,118,tt0099629,Curry and Pepper,6.5,1028,1990,Action,Comedy,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
119,119,tt0099634,The Garden,6.4,1089,1990,Drama,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
120,120,tt0099636,Gate 2: The Trespassers,4.8,2554,1990,Comedy,Fantasy,Horror,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
